species, pearson correlation to BMI, P-value for pearson, Spearman correlation to BMI, P-value for spearman correlation
k__Bacteria,1.939562796,0.054284576,0.088446389,0.275366345
k__Viruses,0.390493849,0.696718126,0.165447727,0.040308009
k__Bacteria|p__Firmicutes,2.674358679,0.008306558,0.214790627,0.007471559
k__Bacteria|p__Bacteroidetes,0.062318632,0.950390963,-0.0485195,0.550135136
k__Bacteria|p__Actinobacteria,-1.681428688,0.094733218,-0.10037911,0.215473619
k__Viruses|p__Viruses_noname,0.390493849,0.696718126,0.165447727,0.040308009
k__Bacteria|p__Proteobacteria,-1.405354185,0.161956577,0.035329924,0.663564888
k__Bacteria|p__Verrucomicrobia,0.427859315,0.669359134,-0.071854983,0.375845335
k__Bacteria|p__Firmicutes|c__Clostridia,1.813936577,0.071659756,0.134092375,0.097321195
k__Bacteria|p__Firmicutes|c__Bacilli,1.695902953,0.09195149,0.089734459,0.26840764
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,0.062115507,0.950552452,-0.0485195,0.550135136
k__Bacteria|p__Actinobacteria|c__Actinobacteria,-1.681428688,0.094733218,-0.10037911,0.215473619
k__Viruses|p__Viruses_noname|c__Viruses_noname,0.390493849,0.696718126,0.165447727,0.040308009
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,1.922977603,0.056352602,0.136063911,0.092455235
k__Bacteria|p__Firmicutes|c__Negativicutes,0.503400036,0.615411782,-0.033959707,0.675862317
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,-1.397383435,0.164334669,0.060615869,0.455195419
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,-0.438478527,0.661661999,-0.138005614,0.087853964
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,0.427859315,0.669359134,-0.071854983,0.375845335
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,1.813936577,0.071659756,0.134092375,0.097321195
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,1.702063595,0.090787793,0.095290904,0.239766062
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,0.062115507,0.950552452,-0.0485195,0.550135136
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales,0.442858407,0.658497756,0.113202979,0.16215386
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,-1.844579716,0.067045122,-0.147996632,0.066992112
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,1.922977603,0.056352602,0.136063911,0.092455235
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,-0.336334445,0.737082545,0.071009796,0.381500852
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,0.503400036,0.615411782,-0.033959707,0.675862317
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,-0.990172874,0.323663243,-0.26141151,0.001057608
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,-0.415785363,0.678153483,-0.126828166,0.117019028
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,1.626370758,0.105942226,0.098562542,0.223936451
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,-0.202783972,0.839575075,0.138784673,0.08606002
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,-1.372804156,0.17183525,0.072684775,0.370342979
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,-0.361149904,0.71848886,0.038480877,0.635628243
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales,-0.733184426,0.4645752,0.061416743,0.449249495
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname,-0.521649349,0.602673772,0.158996885,0.048887505
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,0.427859315,0.669359134,-0.071854983,0.375845335
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,1.104136153,0.271278921,0.07299119,0.368323727
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,1.661683983,0.098637232,0.209038671,0.009274244
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,1.56356617,0.119999078,0.074665352,0.357411327
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,1.58437744,0.115186206,-0.004513174,0.955699506
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae,0.353413556,0.724268107,0.102095152,0.207690972
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,-1.844579716,0.067045122,-0.147996632,0.066992112
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,0.634900783,0.52644766,0.086418993,0.286564195
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,1.922977603,0.056352602,0.136063911,0.092455235
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,-0.336334445,0.737082545,0.071009796,0.381500852
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,-0.610825285,0.542227565,-0.073236058,0.366714951
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae,-0.946554401,0.345368227,-0.051341398,0.527154079
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,0.88492613,0.377594185,0.076345075,0.346667526
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,-0.990172874,0.323663243,-0.26141151,0.001057608
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,-0.894194214,0.372631676,-0.020444504,0.801297028
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,0.767942425,0.443712762,-0.037077228,0.648012783
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,1.028224992,0.305477449,0.003403,0.966589437
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname,-0.214569975,0.830390202,0.139608453,0.084195092
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,1.95398331,0.052538796,0.100407945,0.215341149
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,-1.372804156,0.17183525,0.072684775,0.370342979
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.654812307,0.513578279,0.006141726,0.939740076
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,-1.006140058,0.315947211,-0.030273892,0.709361541
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,1.122859109,0.263267787,0.007864912,0.922879428
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae,-0.488518938,0.625886367,-0.038009591,0.639775434
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.387484734,0.698939427,-0.180440775,0.025131096
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,-1.733395902,0.085053191,-0.162941603,0.043477652
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae,-0.38937761,0.697541818,-0.017725938,0.827274803
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis,-0.784897412,0.433735343,-0.012337322,0.879296931
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae,-0.733184426,0.4645752,0.061416743,0.449249495
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae,-1.224626237,0.222610613,-0.040280965,0.619892743
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,0.427859315,0.669359134,-0.071854983,0.375845335
