species, pearson correlation to BMI, P-value for pearson, Spearman correlation to BMI, P-value for spearman correlation
k__Bacteria,-1.119705033,0.263765979,0.029659956,0.61372271
k__Archaea,-1.165464579,0.244788684,-0.102055953,0.081683378
k__Viruses,1.526620621,0.127945255,0.030245588,0.606736286
k__Bacteria|p__Bacteroidetes,2.050807731,0.041184151,0.10012307,0.087662469
k__Bacteria|p__Firmicutes,-2.025781575,0.043702627,-0.124899575,0.03288443
k__Bacteria|p__Proteobacteria,0.273262187,0.784846182,0.084201893,0.151224157
k__Bacteria|p__Actinobacteria,-0.984921409,0.325483682,-0.04900978,0.404061906
k__Archaea|p__Euryarchaeota,-1.165464579,0.244788684,-0.102055953,0.081683378
k__Bacteria|p__Verrucomicrobia,-2.007035192,0.045673739,-0.131584335,0.024534418
k__Viruses|p__Viruses_noname,1.526620621,0.127945255,0.030245588,0.606736286
k__Bacteria|p__Deinococcus_Thermus,-2.510002367,0.012617705,-0.152073925,0.009250668
k__Bacteria|p__Chlorobi,-0.464500773,0.642637535,-0.069402603,0.237090085
k__Bacteria|p__Acidobacteria,-0.682779987,0.495290934,-0.142368254,0.014901275
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,2.054102058,0.040862019,0.100614725,0.086109275
k__Bacteria|p__Firmicutes|c__Clostridia,-2.275677985,0.023594656,-0.14060722,0.016201351
k__Bacteria|p__Actinobacteria|c__Actinobacteria,-0.984921409,0.325483682,-0.04900978,0.404061906
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,-0.030507407,0.975683371,-0.047955441,0.414261181
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,1.740410584,0.082847669,0.092088049,0.116370971
k__Bacteria|p__Firmicutes|c__Negativicutes,0.319580047,0.749516801,0.008753864,0.881595196
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,1.458494279,0.145786526,0.051848122,0.377357969
k__Archaea|p__Euryarchaeota|c__Methanobacteria,-1.157610964,0.247975365,-0.097104435,0.097697532
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,-2.007035192,0.045673739,-0.131584335,0.024534418
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,0.767615045,0.443340457,0.029059666,0.620920402
k__Bacteria|p__Firmicutes|c__Bacilli,0.699895565,0.484553581,-0.065139775,0.26720881
k__Viruses|p__Viruses_noname|c__Viruses_noname,1.526620621,0.127945255,0.030245588,0.606736286
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,-2.510002367,0.012617705,-0.152073925,0.009250668
k__Bacteria|p__Chlorobi|c__Chlorobia,-0.464500773,0.642637535,-0.069402603,0.237090085
k__Bacteria|p__Acidobacteria|c__Acidobacteriia,-0.682779987,0.495290934,-0.142368254,0.014901275
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,-1.16946168,0.243177961,-0.095125419,0.10475792
k__Archaea|p__Euryarchaeota|c__Methanococci,-2.190016192,0.029319436,-0.09744787,0.096511729
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,2.054102058,0.040862019,0.100614725,0.086109275
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,-2.27561741,0.023598332,-0.140617584,0.016193419
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,0.213652984,0.830967809,-0.133469856,0.022538584
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,-1.323712729,0.186640981,-0.086776523,0.139068354
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,1.730182969,0.084661457,0.090731172,0.121873597
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,0.319580047,0.749516801,0.008753864,0.881595196
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,0.491283506,0.62359754,0.056011762,0.340198565
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,1.458494279,0.145786526,0.051848122,0.377357969
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,-1.157610964,0.247975365,-0.097104435,0.097697532
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,-2.007035192,0.045673739,-0.131584335,0.024534418
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,0.768740052,0.442673233,0.029208891,0.619127733
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.703707825,0.482179368,-0.064028234,0.275474755
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname,-0.584629488,0.55925142,-0.097785502,0.095357151
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales,-2.517331969,0.01236381,-0.149175426,0.010696071
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales,-0.464500773,0.642637535,-0.069402603,0.237090085
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,-0.054209044,0.956805941,0.027026321,0.645567106
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,-0.682779987,0.495290934,-0.142368254,0.014901275
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales,-1.16946168,0.243177961,-0.095125419,0.10475792
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales,-2.190016192,0.029319436,-0.09744787,0.096511729
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales,1.559406592,0.119990774,0.06065237,0.30163484
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,1.900453271,0.058365206,0.09255017,0.114541885
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,-1.769844732,0.077803768,-0.117785284,0.044316131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,-1.852650899,0.064948301,-0.086690534,0.139461881
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,0.261861139,0.793614397,0.015487605,0.792139827
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.901702875,0.367962993,0.067677475,0.248978126
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,-1.289459254,0.198265933,-0.056290608,0.337796219
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,-0.380754501,0.703664184,-0.013522208,0.818024171
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,-0.948289141,0.343771818,-0.031964078,0.586442417
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,0.213652984,0.830967809,-0.133469856,0.022538584
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,-1.323712729,0.186640981,-0.086776523,0.139068354
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,1.94703407,0.052495831,0.10178401,0.08250414
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,0.335958845,0.73714484,-0.058052391,0.322869318
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,0.491283506,0.62359754,0.056011762,0.340198565
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,1.458494279,0.145786526,0.051848122,0.377357969
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,-1.157610964,0.247975365,-0.097104435,0.097697532
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,-2.007035192,0.045673739,-0.131584335,0.024534418
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,0.768740052,0.442673233,0.029208891,0.619127733
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,-0.539412739,0.590015992,0.045420717,0.439392442
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname,-0.769700249,0.442104212,-0.038514328,0.512111464
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,-0.771440783,0.44107383,-0.042354551,0.470925447
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.637179218,0.524510804,-0.11796096,0.043998097
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae,-2.517331969,0.01236381,-0.149175426,0.010696071
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname,-1.752357968,0.080769112,-0.118158901,0.043642057
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae,0.013423757,0.989298944,5.61E-05,0.999238941
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae,-0.207172131,0.836020827,-0.011176775,0.849171568
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae,-0.464500773,0.642637535,-0.069402603,0.237090085
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,-0.054209044,0.956805941,0.027026321,0.645567106
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae,-0.682779987,0.495290934,-0.142368254,0.014901275
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae,-1.172720089,0.241870462,-0.103897173,0.076298228
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname,-1.207533606,0.228210617,0.061731723,0.293097625
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae,0.116412754,0.907406002,-0.00458386,0.937833253
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae,-2.190016192,0.029319436,-0.09744787,0.096511729
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae,1.179051081,0.239344264,0.036715708,0.532024906
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae,-1.329258635,0.184807422,-0.08662462,0.139764107
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,1.903957886,0.057905318,0.117269624,0.045260813
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,-0.864816717,0.387854191,-0.024147717,0.681126511
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,1.147444286,0.252143776,0.038200009,0.51556335
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum,-2.137787302,0.03336997,-0.134035677,0.021967733
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio,-1.659949586,0.098005484,-0.14973806,0.0104008
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium,0.261795774,0.793664743,0.015487605,0.792139827
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,0.901702875,0.367962993,0.067677475,0.248978126
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,-0.380754501,0.703664184,-0.013522208,0.818024171
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,-1.067661546,0.28656117,-0.02215365,0.706185304
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,0.355971894,0.722120428,-0.013854058,0.813638983
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,-0.417791721,0.676408572,0.017958895,0.759916771
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,-0.933549482,0.351312955,-0.029255879,0.618563721
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,-1.324982978,0.18621983,-0.086019629,0.142561578
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,0.226085222,0.821294399,-0.133749972,0.022254394
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,-0.208058601,0.835329254,-0.029507435,0.615548031
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname,-2.096241602,0.036927201,-0.119635992,0.041060874
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella,0.125905155,0.899894244,-0.004031306,0.945314557
