species, pearson correlation to BMI, P-value for pearson,Spearman correlation to BMI, P-value for spearman correlation
k__Bacteria,-1.217647299,0.224997326,-0.019000159,0.801804569
k__Archaea,-1.521934352,0.129830412,-0.131251533,0.081620994
k__Viruses,1.686924304,0.09339963,0.039176978,0.604652452
k__Bacteria|p__Bacteroidetes,1.264816909,0.207618701,0.049513345,0.512811275
k__Bacteria|p__Firmicutes,-1.748312155,0.082163598,-0.127253712,0.091435377
k__Bacteria|p__Proteobacteria,2.509911747,0.012983815,0.131221835,0.081690645
k__Bacteria|p__Actinobacteria,-1.442117633,0.15105645,-0.070748809,0.349398864
k__Archaea|p__Euryarchaeota,-1.521934352,0.129830412,-0.131251533,0.081620994
k__Bacteria|p__Verrucomicrobia,-1.538865724,0.125643254,-0.194997092,0.009297886
k__Viruses|p__Viruses_noname,1.686924304,0.09339963,0.039176978,0.604652452
k__Bacteria|p__Deinococcus_Thermus,-3.51518372,0.00055956,-0.163910402,0.029257373
k__Bacteria|p__Acidobacteria,-3.28670686,0.001224907,-0.308701998,2.91E-05
k__Bacteria|p__Spirochaetes,0.892547333,0.373325307,-0.147792401,0.049633068
k__Bacteria|p__Chlorobi,-1.430178507,0.154448783,-0.231254288,0.001955364
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,1.269205043,0.206053335,0.050044664,0.508292814
k__Bacteria|p__Firmicutes|c__Clostridia,-2.189552143,0.02988001,-0.169113243,0.024436453
k__Bacteria|p__Actinobacteria|c__Actinobacteria,-1.442117633,0.15105645,-0.070748809,0.349398864
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,2.313128467,0.02187879,0.03080422,0.683995926
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,1.242234176,0.215812287,0.106841797,0.156945027
k__Bacteria|p__Firmicutes|c__Negativicutes,1.212328879,0.227020676,0.062815809,0.406194271
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,0.8484327,0.397356048,0.058488423,0.439352611
k__Archaea|p__Euryarchaeota|c__Methanobacteria,-1.499580479,0.135524971,-0.089353309,0.236922863
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,-0.70490587,0.481805926,-0.060816793,0.421323772
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,-1.538865724,0.125643254,-0.194997092,0.009297886
k__Bacteria|p__Firmicutes|c__Bacilli,0.794195028,0.428157551,-0.001490076,0.984295676
k__Viruses|p__Viruses_noname|c__Viruses_noname,1.686924304,0.09339963,0.039176978,0.604652452
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,-0.93873153,0.349162422,-0.152130023,0.043238451
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,-3.51518372,0.00055956,-0.163910402,0.029257373
k__Bacteria|p__Acidobacteria|c__Acidobacteriia,-3.28670686,0.001224907,-0.308701998,2.91E-05
k__Bacteria|p__Spirochaetes|c__Spirochaetia,0.892547333,0.373325307,-0.147792401,0.049633068
k__Bacteria|p__Chlorobi|c__Chlorobia,-1.430178507,0.154448783,-0.231254288,0.001955364
k__Archaea|p__Euryarchaeota|c__Methanococci,-2.158746642,0.032231815,-0.208569063,0.005338329
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,1.269205043,0.206053335,0.050044664,0.508292814
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,-2.189523767,0.029882106,-0.169113243,0.024436453
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,-1.763305869,0.079594163,-0.099537394,0.18745269
