Species,Correlation to BMI
 k__Bacteria,-0.065609673
 k__Archaea,-0.068278721
 k__Viruses,0.089288188
 k__Bacteria|p__Bacteroidetes,0.119563693
 k__Bacteria|p__Firmicutes,-0.118125132
 k__Bacteria|p__Proteobacteria,0.016044443
 k__Bacteria|p__Actinobacteria,-0.057740085
 k__Archaea|p__Euryarchaeota,-0.068278721
 k__Bacteria|p__Verrucomicrobia,-0.117047058
 k__Viruses|p__Viruses_noname,0.089288188
 k__Bacteria|p__Deinococcus_Thermus,-0.145817022
 k__Bacteria|p__Chlorobi,-0.027266283
 k__Bacteria|p__Acidobacteria,-0.040062034
 k__Bacteria|p__Bacteroidetes|c__Bacteroidia,0.119753003
 k__Bacteria|p__Firmicutes|c__Clostridia,-0.13245498
 k__Bacteria|p__Actinobacteria|c__Actinobacteria,-0.057740085
 k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,-0.001791454
 k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,0.101670836
 k__Bacteria|p__Firmicutes|c__Negativicutes,0.018763083
 k__Bacteria|p__Firmicutes|c__Erysipelotrichia,0.085333337
 k__Archaea|p__Euryarchaeota|c__Methanobacteria,-0.06782074
 k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,-0.117047058
 k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,0.045030184
 k__Bacteria|p__Firmicutes|c__Bacilli,0.041064615
 k__Viruses|p__Viruses_noname|c__Viruses_noname,0.089288188
 k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,-0.145817022
 k__Bacteria|p__Chlorobi|c__Chlorobia,-0.027266283
 k__Bacteria|p__Acidobacteria|c__Acidobacteriia,-0.040062034
 k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,-0.068511794
 k__Archaea|p__Euryarchaeota|c__Methanococci,-0.127551746
 k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,0.119753003
 k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,-0.132451517
 k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,0.012545148
 k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,-0.077497316
 k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,0.101079484
 k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,0.018763083
 k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,0.028837163
 k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,0.085333337
 k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,-0.06782074
 k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,-0.117047058
 k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,0.045096045
 k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.04128791
 k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname,-0.034310413
 k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales,-0.146233738
 k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales,-0.027266283
 k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,-0.003183249
 k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,-0.040062034
 k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales,-0.068511794
 k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales,-0.127551746
 k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales,0.091189977
 k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.110909948
 k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,-0.103372089
 k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,-0.108153262
 k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,0.015375198
 k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.052875744
 k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,-0.075503516
 k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,-0.022353088
 k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,-0.055599319
 k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,0.012545148
 k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,-0.077497316
 k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,0.113593727
